epoch,genesis,completed,cancelled,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,treasuryAmount,bullBonusAmount,bearBonusAmount,lockPrice,closePrice,startTimestamp,lockTimestamp,closeTimestamp
28478,False,True,False,5770000000000000000,5712300000000000000,5712300000000000000,11482300000000000000,0,0,0,37364100000,37276000000,1646986666,1646986966,1646987266
28479,False,True,False,5500000000000000000,5520000000000000000,5520000000000000000,11019400000000000000,600000000000000,0,0,37276000000,37168100000,1646986978,1646987278,1646987578
28480,False,True,False,6255000000000000000,6717700000000000000,6255000000000000000,12955450000000000000,17250000000000000,0,0,37168100000,37224400000,1646987293,1646987593,1646987893
28481,False,True,False,6570000000000000000,6320000000000000000,6570000000000000000,12876500000000000000,13500000000000000,0,0,37224400000,37324600000,1646987605,1646987905,1646988205
28482,False,True,False,5810000000000000000,5320000000000000000,5810000000000000000,11115300000000000000,14700000000000000,0,0,37324600000,37336300000,1646987917,1646988217,1646988517
28483,False,True,False,5450000000000000000,5433800000000000000,5433800000000000000,10881700000000000000,2100000000000000,0,0,37336300000,37312800000,1646988226,1646988526,1646988826
28484,False,True,False,4730000000000000000,4570000000000000000,4730000000000000000,9295200000000000000,4800000000000000,0,0,37312800000,37343000000,1646988535,1646988835,1646989135
28485,False,True,False,4670000000000000000,4620000000000000000,4620000000000000000,9287300000000000000,2700000000000000,0,0,37343000000,37297700000,1646988847,1646989147,1646989447
28486,False,True,False,7290000000000000000,6736400000000000000,7290000000000000000,14006000000000000000,15450000000000000,4950000000000000,0,37297700000,37339900000,1646989156,1646989456,1646989756
28487,False,True,False,5660000000000000000,5660000000000000000,5660000000000000000,11320000000000000000,0,0,0,37339900000,37340700000,1646989495,1646989795,1646990095
28488,False,True,False,6320000000000000000,6302400000000000000,6320000000000000000,12620000000000000000,2400000000000000,0,0,37340700000,37381800000,1646989804,1646990104,1646990404
28489,False,True,False,6060000000000000000,5464100000000000000,5464100000000000000,11504600000000000000,19500000000000000,0,0,37381800000,37378500000,1646990119,1646990419,1646990719
28490,False,True,False,7010000000000000000,6860700000000000000,7010000000000000000,13868300000000000000,2400000000000000,0,0,37378500000,37412900000,1646990428,1646990728,1646991028
28491,False,True,False,7190000000000000000,6980000000000000000,6980000000000000000,14163700000000000000,6300000000000000,0,0,37412900000,37369000000,1646990737,1646991037,1646991337
28492,False,True,False,4740000000000000000,4613400000000000000,4613400000000000000,9351000000000000000,2400000000000000,0,0,37369000000,37322700000,1646991046,1646991346,1646991646
